0 leadconcept : Precision:: 0.0, Recall:: 0.0
182 RajeshSrivastav : Precision:: 0.0, Recall:: 0.0
183 tanvirmrt : Precision:: 0.0, Recall:: 0.0
184 wsfreelanzer : Precision:: 0.0, Recall:: 0.0
185 rstanmoy : Precision:: 0.0, Recall:: 0.0
186 jamesinsoft : Precision:: 0.0, Recall:: 0.0
187 dewmagic : Precision:: 0.0, Recall:: 0.0
188 gobyweb2 : Precision:: 0.0, Recall:: 0.0
189 theincredible : Precision:: 0.0, Recall:: 0.0
190 seoleader1 : Precision:: 0.0, Recall:: 0.0
191 level20peon : Precision:: 0.0, Recall:: 0.0
192 WOEXX : Precision:: 0.0, Recall:: 0.0
193 rogeliobello : Precision:: 0.0, Recall:: 0.0
194 Lavlu : Precision:: 0.0, Recall:: 0.0
195 uniqueclick : Precision:: 0.0, Recall:: 0.0
196 ktmfreelancer : Precision:: 0.0, Recall:: 0.0
197 simplicityq88 : Precision:: 0.0, Recall:: 0.0
198 imarims : Precision:: 0.0, Recall:: 0.0
199 crystalARCH : Precision:: 0.0, Recall:: 0.0
200 wassily : Precision:: 0.0, Recall:: 0.0
201 pixelke : Precision:: 0.0, Recall:: 0.0
202 ChintorWeblab : Precision:: 0.0, Recall:: 0.0
203 alone4all : Precision:: 0.0, Recall:: 0.0
204 friendfeed : Precision:: 0.0, Recall:: 0.0
205 Ionics : Precision:: 0.0, Recall:: 0.0
206 ByteAnt : Precision:: 0.0, Recall:: 0.0
207 ShenHua : Precision:: 0.0, Recall:: 0.0
208 firethreedesigns : Precision:: 0.0, Recall:: 0.0
209 kristina98 : Precision:: 0.0, Recall:: 0.0
210 ghazalpasha : Precision:: 0.0, Recall:: 0.0
211 firethreedesigns : Precision:: 0.0, Recall:: 0.0
212 kristina98 : Precision:: 0.0, Recall:: 0.0
213 Joshua777 : Precision:: 0.0, Recall:: 0.0
214 Junyou : Precision:: 0.0, Recall:: 0.0
215 Manhoc : Precision:: 0.0, Recall:: 0.0
216 saiSoftIndia : Precision:: 0.0, Recall:: 0.0
217 fifteenhex : Precision:: 0.0, Recall:: 0.0
218 DLS1 : Precision:: 0.0, Recall:: 0.0
219 beepig : Precision:: 0.0, Recall:: 0.0
220 mkdoluweera : Precision:: 0.0, Recall:: 0.0
221 GalaxyDesigns : Precision:: 0.0, Recall:: 0.0
222 dworker88 : Precision:: 0.0, Recall:: 0.0
223 techvolcano : Precision:: 0.0, Recall:: 0.0
224 exactprecisions : Precision:: 0.0, Recall:: 0.0
225 swsDreams : Precision:: 0.0, Recall:: 0.0
226 alhamdulillah00 : Precision:: 0.1, Recall:: 0.2
227 mxicoders : Precision:: 0.0, Recall:: 0.0
228 anamul12 : Precision:: 0.0, Recall:: 0.0
229 Alcatraz87 : Precision:: 0.0, Recall:: 0.0
230 icadinfo : Precision:: 0.0, Recall:: 0.0
231 submitbuzz : Precision:: 0.0, Recall:: 0.0
232 qspsolutions : Precision:: 0.0, Recall:: 0.0
233 crystalcloudteam : Precision:: 0.0, Recall:: 0.0
234 WebInfoQuest : Precision:: 0.0, Recall:: 0.0
235 pixelhubdesings : Precision:: 0.0, Recall:: 0.0
236 tomvnphp : Precision:: 0.0, Recall:: 0.0
237 AleksandarPers : Precision:: 0.0, Recall:: 0.0
238 piyushvankar : Precision:: 0.0, Recall:: 0.0
239 madeureka : Precision:: 0.0, Recall:: 0.0
240 NSExpert : Precision:: 0.0, Recall:: 0.0
241 jblsolution : Precision:: 0.0, Recall:: 0.0
242 logicscreators : Precision:: 0.0, Recall:: 0.0
243 velsoftconsult : Precision:: 0.0, Recall:: 0.0
244 usashisl : Precision:: 0.0, Recall:: 0.0
245 webmantratech : Precision:: 0.0, Recall:: 0.0
246 bdweb : Precision:: 0.0, Recall:: 0.0
247 cooldevvn : Precision:: 0.0, Recall:: 0.0
248 Paul142 : Precision:: 0.0, Recall:: 0.0
249 phamtech211 : Precision:: 0.0, Recall:: 0.0
250 erinkennedy : Precision:: 0.0, Recall:: 0.0
251 passion20 : Precision:: 0.0, Recall:: 0.0
252 WebGeniuz : Precision:: 0.0, Recall:: 0.0
253 designBox16 : Precision:: 0.0, Recall:: 0.0
254 rabiulhassan2 : Precision:: 0.0, Recall:: 0.0
255 anuragr : Precision:: 0.0, Recall:: 0.0
256 ahmedmohamed85 : Precision:: 0.0, Recall:: 0.0
257 vw8147800vw : Precision:: 0.0, Recall:: 0.0
258 DragonOfDev : Precision:: 0.0, Recall:: 0.0
259 Jeetendra72 : Precision:: 0.0, Recall:: 0.0
260 muminsint : Precision:: 0.0, Recall:: 0.0
261 DevelopGroup : Precision:: 0.0, Recall:: 0.0
262 sudhakarsp : Precision:: 0.0, Recall:: 0.0
263 BuDesign : Precision:: 0.0, Recall:: 0.0
264 Blurredge : Precision:: 0.0, Recall:: 0.0
265 mrroberto : Precision:: 0.0, Recall:: 0.0
266 casshernzakikato : Precision:: 0.0, Recall:: 0.0
267 jinhao525 : Precision:: 0.0, Recall:: 0.0
268 AveliyaDesign : Precision:: 0.2, Recall:: 0.4
269 datadiggers : Precision:: 0.0, Recall:: 0.0
270 apexsoftsol : Precision:: 0.0, Recall:: 0.0
271 RimoTM : Precision:: 0.0, Recall:: 0.0
272 newgroup4u : Precision:: 0.0, Recall:: 0.0
273 LloydesignStudio : Precision:: 0.0, Recall:: 0.0
274 abhijit1234 : Precision:: 0.0, Recall:: 0.0
275 dirak696 : Precision:: 0.0, Recall:: 0.0
276 usamacpp : Precision:: 0.0, Recall:: 0.0
277 Malitechnolab : Precision:: 0.0, Recall:: 0.0
278 hossionsumon : Precision:: 0.0, Recall:: 0.0
279 webxtreams : Precision:: 0.0, Recall:: 0.0
280 ccousinshome : Precision:: 0.0, Recall:: 0.0
281 surajitsaha24484 : Precision:: 0.0, Recall:: 0.0
282 sharifideal : Precision:: 0.0, Recall:: 0.0
283 fortranPRO : Precision:: 0.0, Recall:: 0.0
284 mmagr99 : Precision:: 0.0, Recall:: 0.0
285 lussaysl : Precision:: 0.0, Recall:: 0.0
286 weblazer : Precision:: 0.0, Recall:: 0.0
287 EverYouth : Precision:: 0.0, Recall:: 0.0
288 bigsamisgood : Precision:: 0.0, Recall:: 0.0
289 larrypaul93 : Precision:: 0.0, Recall:: 0.0
290 jfreyre : Precision:: 0.0, Recall:: 0.0
291 scitecwri : Precision:: 0.0, Recall:: 0.0
292 masudhossain : Precision:: 0.0, Recall:: 0.0
293 keerthaninfo : Precision:: 0.0, Recall:: 0.0
294 hash500 : Precision:: 0.0, Recall:: 0.0
295 kssoftphp : Precision:: 0.0, Recall:: 0.0
296 OhRami : Precision:: 0.0, Recall:: 0.0
297 troywhudson : Precision:: 0.0, Recall:: 0.0
298 evidcomm : Precision:: 0.0, Recall:: 0.0
299 twhiting9275 : Precision:: 0.0, Recall:: 0.0
300 desarrollos720 : Precision:: 0.0, Recall:: 0.0
301 NiceProgram : Precision:: 0.0, Recall:: 0.0
302 ranjitsingh90 : Precision:: 0.0, Recall:: 0.0
303 ph0t0sh0pguy : Precision:: 0.0, Recall:: 0.0
304 hilelbaroud : Precision:: 0.0, Recall:: 0.0
305 digiwebcreators : Precision:: 0.0, Recall:: 0.0
306 seomaster212 : Precision:: 0.0, Recall:: 0.0
307 moxdesigns : Precision:: 0.0, Recall:: 0.0
308 smanakovv : Precision:: 0.0, Recall:: 0.0
309 webgallery : Precision:: 0.0, Recall:: 0.0
310 biboofamily : Precision:: 0.1, Recall:: 0.2
311 vectorcoder : Precision:: 0.0, Recall:: 0.0
312 pasqualeoliva : Precision:: 0.0, Recall:: 0.0
313 Kang1029 : Precision:: 0.0, Recall:: 0.0
314 wordpressteam : Precision:: 0.0, Recall:: 0.0
315 HosElectro : Precision:: 0.0, Recall:: 0.0
316 dboyzhang : Precision:: 0.0, Recall:: 0.0
317 cybersolutionvw : Precision:: 0.0, Recall:: 0.0
318 Pixaart : Precision:: 0.0, Recall:: 0.0
319 preetlamp2 : Precision:: 0.0, Recall:: 0.0
320 zbsol : Precision:: 0.0, Recall:: 0.0
321 nycxav : Precision:: 0.0, Recall:: 0.0
322 erithonia : Precision:: 0.0, Recall:: 0.0
323 jamesedge : Precision:: 0.0, Recall:: 0.0
324 shsaad : Precision:: 0.0, Recall:: 0.0
325 vijaywebsol : Precision:: 0.0, Recall:: 0.0
326 eyeondezign : Precision:: 0.0, Recall:: 0.0
327 sophialotus : Precision:: 0.1, Recall:: 0.2
328 eclipsetechno : Precision:: 0.0, Recall:: 0.0
329 templatesale : Precision:: 0.0, Recall:: 0.0
330 gslogics123 : Precision:: 0.0, Recall:: 0.0
331 web4myself : Precision:: 0.0, Recall:: 0.0
332 grafikguru : Precision:: 0.0, Recall:: 0.0
333 ibed05 : Precision:: 0.0, Recall:: 0.0
334 AlexMillerDev : Precision:: 0.0, Recall:: 0.0
335 jethtorres : Precision:: 0.0, Recall:: 0.0
336 datasolutions6 : Precision:: 0.0, Recall:: 0.0
337 sutapatiwari86 : Precision:: 0.0, Recall:: 0.0
338 enovtec : Precision:: 0.0, Recall:: 0.0
339 loveamlan : Precision:: 0.0, Recall:: 0.0
340 Wangxianming : Precision:: 0.0, Recall:: 0.0
341 Jerrylicius : Precision:: 0.0, Recall:: 0.0
342 ShiaFirst : Precision:: 0.0, Recall:: 0.0
343 tigabelasgrafis : Precision:: 0.0, Recall:: 0.0
344 naef : Precision:: 0.0, Recall:: 0.0
345 RainbowTechs : Precision:: 0.0, Recall:: 0.0
346 farheem : Precision:: 0.0, Recall:: 0.0
347 udayd75 : Precision:: 0.0, Recall:: 0.0
348 programmerAS3 : Precision:: 0.0, Recall:: 0.0
349 softtonix : Precision:: 0.0, Recall:: 0.0
350 ibapi : Precision:: 0.0, Recall:: 0.0
351 myriches : Precision:: 0.0, Recall:: 0.0
352 gahlotkrishan : Precision:: 0.0, Recall:: 0.0
353 maasoft : Precision:: 0.0, Recall:: 0.0
354 achieveseo : Precision:: 0.0, Recall:: 0.0
355 manish997 : Precision:: 0.0, Recall:: 0.0
356 tajweb : Precision:: 0.0, Recall:: 0.0
357 kido0101 : Precision:: 0.0, Recall:: 0.0
358 vigilantsoft : Precision:: 0.0, Recall:: 0.0
359 evaxsoftvw : Precision:: 0.0, Recall:: 0.0
360 kalpesh2804 : Precision:: 0.0, Recall:: 0.0
361 Twigital : Precision:: 0.0, Recall:: 0.0
362 designchest : Precision:: 0.0, Recall:: 0.0
363 powertech : Precision:: 0.0, Recall:: 0.0
364 msabouri : Precision:: 0.0, Recall:: 0.0
365 matharpa : Precision:: 0.0, Recall:: 0.0
366 icoderzinfo : Precision:: 0.0, Recall:: 0.0
367 entben12 : Precision:: 0.0, Recall:: 0.0
368 cromasolutions : Precision:: 0.0, Recall:: 0.0
369 harmonyinfotech : Precision:: 0.0, Recall:: 0.0
370 chrissieroberts : Precision:: 0.0, Recall:: 0.0
371 forbestcoder : Precision:: 0.0, Recall:: 0.0
372 codeunderground : Precision:: 0.0, Recall:: 0.0
373 Currong1641 : Precision:: 0.0, Recall:: 0.0
374 nswapsj : Precision:: 0.0, Recall:: 0.0
375 juls5 : Precision:: 0.0, Recall:: 0.0
376 aslikarabudak : Precision:: 0.0, Recall:: 0.0
377 shilpaincarnate : Precision:: 0.0, Recall:: 0.0
378 BestSolutionForU : Precision:: 0.0, Recall:: 0.0
379 girgis77 : Precision:: 0.0, Recall:: 0.0
380 siddhu1986 : Precision:: 0.0, Recall:: 0.0
381 pixelbypixelsl : Precision:: 0.0, Recall:: 0.0
382 digitalmind1 : Precision:: 0.0, Recall:: 0.0
383 gpaunescu : Precision:: 0.0, Recall:: 0.0
384 eltorozzz : Precision:: 0.0, Recall:: 0.0
385 TheAussieVoice : Precision:: 0.0, Recall:: 0.0
386 sywork2011 : Precision:: 0.0, Recall:: 0.0
387 kgmbiz : Precision:: 0.0, Recall:: 0.0
388 amcgabeykoon : Precision:: 0.0, Recall:: 0.0
389 rashidaliansari : Precision:: 0.0, Recall:: 0.0
390 SsArchi : Precision:: 0.0, Recall:: 0.0
391 aroel : Precision:: 0.0, Recall:: 0.0
392 nhatvo : Precision:: 0.0, Recall:: 0.0
393 Amel90 : Precision:: 0.0, Recall:: 0.0
394 bacujkov : Precision:: 0.0, Recall:: 0.0
395 m2ny : Precision:: 0.0, Recall:: 0.0
396 opengeek : Precision:: 0.0, Recall:: 0.0
397 DucNA : Precision:: 0.0, Recall:: 0.0
398 eyedeahouse : Precision:: 0.0, Recall:: 0.0
399 nirandas : Precision:: 0.0, Recall:: 0.0
400 php4world : Precision:: 0.0, Recall:: 0.0
401 fastworkontime1 : Precision:: 0.0, Recall:: 0.0
402 Dezinestar : Precision:: 0.0, Recall:: 0.0
403 webicent : Precision:: 0.0, Recall:: 0.0
404 Brandwar : Precision:: 0.0, Recall:: 0.0
405 smartxheikh : Precision:: 0.0, Recall:: 0.0
406 iakabir : Precision:: 0.0, Recall:: 0.0
407 IMSeriousBidder : Precision:: 0.0, Recall:: 0.0
408 araratsargsyan : Precision:: 0.0, Recall:: 0.0
409 jonijordder : Precision:: 0.0, Recall:: 0.0
410 gasparandreii : Precision:: 0.2, Recall:: 0.4
411 faizanishtiaq : Precision:: 0.0, Recall:: 0.0
412 amvpdesign : Precision:: 0.0, Recall:: 0.0
413 ijustdesign : Precision:: 0.0, Recall:: 0.0
414 cubibd : Precision:: 0.0, Recall:: 0.0
415 pgpatel : Precision:: 0.0, Recall:: 0.0
416 jerrypro : Precision:: 0.0, Recall:: 0.0
417 vsolcorp : Precision:: 0.0, Recall:: 0.0
418 creativeart08 : Precision:: 0.0, Recall:: 0.0
419 varunmishra1988 : Precision:: 0.0, Recall:: 0.0
420 aoefmpes : Precision:: 0.0, Recall:: 0.0
421 gabreleiros : Precision:: 0.0, Recall:: 0.0
422 EEarningBD : Precision:: 0.0, Recall:: 0.0
423 tevuasohe : Precision:: 0.0, Recall:: 0.0
424 aneesiqbal : Precision:: 0.0, Recall:: 0.0
425 minhpd1309 : Precision:: 0.0, Recall:: 0.0
426 stels88 : Precision:: 0.0, Recall:: 0.0
427 dyv : Precision:: 0.0, Recall:: 0.0
428 kirifm : Precision:: 0.0, Recall:: 0.0
429 WDouglasWhite : Precision:: 0.0, Recall:: 0.0
430 eWestsiders : Precision:: 0.0, Recall:: 0.0
431 romanyfahmy0 : Precision:: 0.0, Recall:: 0.0
432 sameer458 : Precision:: 0.0, Recall:: 0.0
433 cft1 : Precision:: 0.0, Recall:: 0.0
434 scriptphp87 : Precision:: 0.0, Recall:: 0.0
435 Dscapes30 : Precision:: 0.0, Recall:: 0.0
436 gatecorp : Precision:: 0.0, Recall:: 0.0
437 fbdiamond : Precision:: 0.0, Recall:: 0.0
438 kernelbd : Precision:: 0.0, Recall:: 0.0
439 acer2004sl : Precision:: 0.0, Recall:: 0.0
440 astrovn : Precision:: 0.0, Recall:: 0.0
441 samuelcamara : Precision:: 0.3, Recall:: 0.6
442 daufenbach : Precision:: 0.0, Recall:: 0.0
443 legendkiller05 : Precision:: 0.0, Recall:: 0.0
444 patmu : Precision:: 0.0, Recall:: 0.0
445 cnlbuy : Precision:: 0.0, Recall:: 0.0
446 KelvinOTIS : Precision:: 0.0, Recall:: 0.0
447 ibbuzz : Precision:: 0.0, Recall:: 0.0
448 zeuner : Precision:: 0.0, Recall:: 0.0
449 harsh170890 : Precision:: 0.0, Recall:: 0.0
450 VRTECHYS : Precision:: 0.0, Recall:: 0.0
451 winarto2012 : Precision:: 0.0, Recall:: 0.0
452 bobiz : Precision:: 0.0, Recall:: 0.0
453 slavaten : Precision:: 0.0, Recall:: 0.0
454 Impylse : Precision:: 0.0, Recall:: 0.0
455 Zhats : Precision:: 0.0, Recall:: 0.0
456 psapiens : Precision:: 0.1111111111111111, Recall:: 0.2
457 groundpro : Precision:: 0.0, Recall:: 0.0
458 xcerlow : Precision:: 0.0, Recall:: 0.0
459 aishfakahmed : Precision:: 0.0, Recall:: 0.0
460 supertalent1982 : Precision:: 0.0, Recall:: 0.0
461 l2mt : Precision:: 0.0, Recall:: 0.0
462 qualifydeveloper : Precision:: 0.0, Recall:: 0.0
463 prasanthmangad : Precision:: 0.0, Recall:: 0.0
464 cimemi : Precision:: 0.0, Recall:: 0.0
465 elton123 : Precision:: 0.0, Recall:: 0.0
466 JOAN1 : Precision:: 0.0, Recall:: 0.0
467 gazzillo : Precision:: 0.0, Recall:: 0.0
468 sans300 : Precision:: 0.0, Recall:: 0.0
469 saadrashad : Precision:: 0.0, Recall:: 0.0
470 mikipeshevski : Precision:: 0.0, Recall:: 0.0
471 cadfreak : Precision:: 0.0, Recall:: 0.0
472 WebsiteSolution : Precision:: 0.0, Recall:: 0.0
473 priyamohan24 : Precision:: 0.0, Recall:: 0.0
474 sboterod : Precision:: 0.0, Recall:: 0.0
475 jasminery : Precision:: 0.0, Recall:: 0.0
476 amberyanin : Precision:: 0.0, Recall:: 0.0
477 faisdesign : Precision:: 0.0, Recall:: 0.0
478 cakephp2012 : Precision:: 0.0, Recall:: 0.0
479 DesignOptimize : Precision:: 0.0, Recall:: 0.0
480 cristigoia : Precision:: 0.0, Recall:: 0.0
481 manibaaba : Precision:: 0.0, Recall:: 0.0
482 larsdotter : Precision:: 0.0, Recall:: 0.0
483 carivera : Precision:: 0.0, Recall:: 0.0
484 Amir97 : Precision:: 0.0, Recall:: 0.0
485 eComOS : Precision:: 0.0, Recall:: 0.0
